ORGANIZATION: 
DIGIT DATE:   
DIGIT NAME:   curso
MAP NAME:     
MAP DATE:     Wed Mar 19 13:18:42 2014
MAP SCALE:    1
OTHER INFO:   
ZONE:         0
MAP THRESH:   0.000000
VERTI:
P  1 1
 -84.95       10.75       
 1     1         
P  1 1
 -84.75       10.65       
 1     2         
P  1 1
 -84.35       10.65       
 1     3         
P  1 1
 -84.45       10.55       
 1     4         
P  1 1
 -84.25       10.55       
 1     5         
P  1 1
 -84.65       10.45       
 1     6         
P  1 1
 -84.35       10.35       
 1     7         
P  1 1
 -84.75       10.25       
 1     8         
P  1 1
 -84.55       10.25       
 1     9         
P  1 1
 -84.25       10.25       
 1     10        
P  1 1
 -84.85       10.15       
 1     11        
P  1 1
 -84.55       10.15       
 1     12        
P  1 1
 -84.65       10.05       
 1     13        
P  1 1
 -84.35       10.05       
 1     14        
